,Unnamed: 0,GeoUID,Type,Region Name,Area (sq km),Population ,Dwellings ,Households ,"v_CA21_1: Population, 2021",X,Y,Transit Time,Car Time,Car Time Adjusted,Bike Time,Car/Bike Delta,Car/Bus Delta,Bike/Bus Delta
133,133,59170202,DA,59170202,0.1214,469,139,134,469,-123.334144,48.415597,1655823513,1655824614,1655824542,1655823932,10.16666667,17.15,-6.983333333
134,134,59170203,DA,59170203,0.1879,672,301,291,672,-123.333091,48.412742,1655823654,1655824549,1655824475,1655823850,10.41666667,13.68333333,-3.266666667
135,135,59170204,DA,59170204,0.3272,768,337,324,768,-123.327255,48.414666,1655823717,1655824631,1655824555,1655823967,9.8,13.96666667,-4.166666667
136,136,59170205,DA,59170205,0.3014,518,212,209,518,-123.321253,48.412644,1655823299,1655824516,1655824449,1655823870,9.65,19.16666667,-9.516666667
137,137,59170206,DA,59170206,0.2145,441,178,173,441,-123.320297,48.417918,1655823545,1655824678,1655824591,1655824045,9.1,17.43333333,-8.333333333
138,138,59170207,DA,59170207,0.162,425,170,162,425,-123.315792,48.414654,1655823161,1655824585,1655824585,1655823956,10.48333333,23.73333333,-13.25
139,139,59170208,DA,59170208,0.1842,499,200,194,499,-123.315002,48.418651,1655823308,1655824663,1655824633,1655823975,10.96666667,22.08333333,-11.11666667
140,140,59170209,DA,59170209,0.184,485,198,195,485,-123.310998,48.416368,1655822548,1655824593,1655824576,1655823890,11.43333333,33.8,-22.36666667
141,141,59170210,DA,59170210,0.183,517,216,209,517,-123.306453,48.418346,1655822396,1655824594,1655824526,1655823868,10.96666667,35.5,-24.53333333
142,142,59170211,DA,59170211,0.8728,508,293,266,508,-123.301769,48.415231,1655822071,1655824627,1655824539,1655823829,11.83333333,41.13333333,-29.3
143,143,59170212,DA,59170212,0.1568,511,340,302,511,-123.30349,48.422784,1655822644,1655824693,1655824640,1655823899,12.35,33.26666667,-20.91666667
144,144,59170214,DA,59170214,1.0236,549,235,222,549,-123.297164,48.440782,1655822963,1655824793,1655824832,1655824280,9.2,31.15,-21.95
145,145,59170215,DA,59170215,0.1709,436,184,180,436,-123.304838,48.438664,1655823246,1655824853,1655824866,1655824372,8.233333333,27,-18.76666667
146,146,59170216,DA,59170216,0.1816,508,252,238,508,-123.305914,48.434921,1655823253,1655824864,1655824856,1655824222,10.56666667,26.71666667,-16.15
147,147,59170217,DA,59170217,0.2037,540,206,200,540,-123.309403,48.440325,1655823687,1655824979,1655824962,1655824411,9.183333333,21.25,-12.06666667
148,148,59170218,DA,59170218,0.2216,530,202,196,530,-123.317243,48.439765,1655824117,1655824932,1655824938,1655824530,6.8,13.68333333,-6.883333333
149,149,59170219,DA,59170219,0.2269,525,194,190,525,-123.315205,48.443139,1655823938,1655824979,1655824977,1655824587,6.5,17.31666667,-10.81666667
150,150,59170220,DA,59170220,0.2253,481,186,175,481,-123.319872,48.444791,1655824212,1655825037,1655825027,1655824733,4.9,13.58333333,-8.683333333
151,151,59170221,DA,59170221,0.1725,574,234,226,574,-123.324445,48.443944,1655824367,1655824968,1655824952,1655824680,4.533333333,9.75,-5.216666667
152,152,59170222,DA,59170222,0.2043,728,308,292,728,-123.325579,48.439735,1655824337,1655824935,1655824908,1655824515,6.55,9.516666667,-2.966666667
