,GeoUID,Type,Region Name,Area (sq km),Population ,Dwellings ,Households ,"v_CA21_1: Population, 2021",X,Y,Transit Time,Car Time,Bike Time
279,59170366,DA,59170366,0.1287,755,354,345,755,-123.399513,48.445246,46.733333333333334,18.533333333333335,36.56666666666667
280,59170367,DA,59170367,0.0557,674,361,351,674,-123.395714,48.440999,54.4,19.233333333333334,37.55
281,59170368,DA,59170368,0.1354,605,354,295,605,-123.399611,48.440669,49.75,18.833333333333332,39.2
282,59170369,DA,59170369,0.1752,512,242,232,512,-123.395954,48.438905,56.75,20.25,38.88333333333333
283,59170370,DA,59170370,0.0962,523,267,263,523,-123.396278,48.436582,45.166666666666664,20.616666666666667,38.7
284,59170371,DA,59170371,0.1228,556,224,220,556,-123.391623,48.434098,47.9,20.833333333333332,38.43333333333333
285,59170372,DA,59170372,0.1008,495,222,211,495,-123.391032,48.437075,46.233333333333334,20.433333333333334,36.81666666666667
286,59170373,DA,59170373,0.106,457,202,195,457,-123.387884,48.434769,43.96666666666667,19.433333333333334,37.166666666666664
287,59170375,DA,59170375,0.1065,467,211,201,467,-123.384664,48.434107,39.3,19.1,35.95
288,59170376,DA,59170376,0.1447,608,346,321,608,-123.388411,48.431703,39.0,20.1,38.71666666666667
289,59170378,DA,59170378,0.0752,599,433,424,599,-123.3927,48.43057,38.6,20.683333333333334,42.81666666666667
290,59170379,DA,59170379,0.0781,456,262,238,456,-123.397289,48.430933,40.71666666666667,21.216666666666665,43.38333333333333
291,59170380,DA,59170380,0.3032,800,406,389,800,-123.399934,48.433395,41.21666666666667,20.916666666666668,39.916666666666664
292,59170383,DA,59170383,0.6162,1126,515,486,1126,-123.373728,48.438738,40.2,16.983333333333334,35.016666666666666
293,59170384,DA,59170384,0.1651,586,307,291,586,-123.373044,48.441413,47.86666666666667,15.966666666666667,33.05
294,59170385,DA,59170385,0.2902,447,242,225,447,-123.374109,48.444473,48.3,14.616666666666667,30.533333333333335
295,59170386,DA,59170386,0.1269,727,346,332,727,-123.37908,48.443971,52.016666666666666,16.7,31.116666666666667
296,59170387,DA,59170387,0.0705,463,240,228,463,-123.381654,48.445286,49.25,17.016666666666666,31.45
297,59170388,DA,59170388,0.112,511,217,207,511,-123.383065,48.446636,44.766666666666666,16.833333333333332,32.083333333333336
298,59170389,DA,59170389,0.1622,699,382,365,699,-123.387153,48.445523,44.71666666666667,17.35,33.0
299,59170390,DA,59170390,0.1474,1320,743,731,1320,-123.386032,48.44236,49.8,17.7,34.45
