a,q,t,dw,hh,id,pop,name,rgid,rpid,ruid,rguid,Transit Time,Car Time,Bike Time
0.0436,0,DA,148,129,59151202,408,59151202,5915,5915022,9330003.01,59933,72.78333333,20.88333333,44.9
0.0561,0,DA,189,178,59151203,572,59151203,5915,5915022,9330003.02,59933,74.1,22.03333333,45.4
0.0595,0,DA,190,179,59151204,630,59151204,5915,5915022,9330003.02,59933,74.26666667,22.01666667,45.18333333
0.0356,0,DA,85,80,59151205,274,59151205,5915,5915022,9330003.02,59933,70.25,23.78333333,47.18333333
0.064,0,DA,174,165,59151206,594,59151206,5915,5915022,9330003.02,59933,66.03333333,22.16666667,46.41666667
0.4039,0,DA,178,159,59151207,556,59151207,5915,5915022,9330003.02,59933,79.36666667,23.65,45.88333333
0.3343,0,DA,271,254,59151208,814,59151208,5915,5915022,9330003.02,59933,63.3,25.36666667,52.35
0.1059,0,DA,217,195,59151209,600,59151209,5915,5915022,9330002.04,59933,67.71666667,25.53333333,49.36666667
0.0964,0,DA,189,174,59151211,483,59151211,5915,5915022,9330002.03,59933,66.16666667,26.35,53.06666667
0.1447,0,DA,227,215,59151213,656,59151213,5915,5915022,9330002.04,59933,69.68333333,27.58333333,54.76666667
0.0814,0,DA,207,176,59151214,585,59151214,5915,5915022,9330002.04,59933,68.51666667,26.41666667,54.85
0.1055,0,DA,180,172,59151215,545,59151215,5915,5915022,9330002.04,59933,71.53333333,26.86666667,50.15
0.0865,0,DA,349,338,59151216,667,59151216,5915,5915022,9330002.04,59933,70.76666667,26.03333333,50
0.0489,0,DA,161,159,59151217,400,59151217,5915,5915022,9330002.04,59933,71.2,27.08333333,52.21666667
0.9949,0,DA,150,145,59151219,431,59151219,5915,5915022,9330002.01,59933,81.75,29.41666667,58.46666667
0.1273,0,DA,177,167,59151220,479,59151220,5915,5915022,9330002.01,59933,68.26666667,26.36666667,57.15
0.061,0,DA,345,334,59151221,765,59151221,5915,5915022,9330002.01,59933,67.18333333,26.41666667,58.7
0.1083,0,DA,242,218,59151222,612,59151222,5915,5915022,9330015.02,59933,63,26.46666667,56.86666667
0.1146,0,DA,231,213,59151223,704,59151223,5915,5915022,9330015.02,59933,62.58333333,26.58333333,57.18333333
0.13,0,DA,311,290,59151224,844,59151224,5915,5915022,9330015.01,59933,65.41666667,27.73333333,58.45
0.0949,0,DA,197,176,59151225,533,59151225,5915,5915022,9330015.01,59933,61.41666667,26.35,58.1
0.1066,0,DA,262,235,59151226,691,59151226,5915,5915022,9330015.01,59933,64.85,27.76666667,59.53333333
0.0961,0,DA,231,211,59151227,620,59151227,5915,5915022,9330015.01,59933,62.65,26.41666667,58.8
0.1154,0,DA,230,223,59151228,625,59151228,5915,5915022,9330001.01,59933,65.6,28.38333333,61.41666667
0.1152,0,DA,316,306,59151229,857,59151229,5915,5915022,9330001.01,59933,63.26666667,28.41666667,60.01666667
0.0598,0,DA,140,136,59151230,385,59151230,5915,5915022,9330001.01,59933,61.95,29.93333333,61.35
0.078,0,DA,127,126,59151231,342,59151231,5915,5915022,9330001.01,59933,67.01666667,29.4,61.88333333
0.6271,0,DA,236,226,59151232,624,59151232,5915,5915025,9330221.01,59933,71.76666667,31.33333333,66.5
0.0349,0,DA,118,115,59151234,259,59151234,5915,5915022,9330001.01,59933,76.38333333,30.75,61.18333333
0.182,0,DA,431,416,59151236,1099,59151236,5915,5915022,9330001.01,59933,76.96666667,30.43333333,60.91666667
0.3788,0,DA,227,220,59151237,648,59151237,5915,5915025,9330221.01,59933,77.66666667,30.51666667,65.85
0.2236,0,DA,198,187,59151238,582,59151238,5915,5915025,9330221.01,59933,82.33333333,32.03333333,69.43333333
0.1808,0,DA,182,174,59151239,520,59151239,5915,5915025,9330221.03,59933,78.13333333,32.96666667,70.56666667
0.234,0,DA,216,205,59151240,577,59151240,5915,5915025,9330221.03,59933,86.18333333,32.91666667,70.95
0.2425,0,DA,264,252,59151241,721,59151241,5915,5915025,9330221.03,59933,79.41666667,33.06666667,72.06666667
0.2429,0,DA,235,220,59151242,660,59151242,5915,5915025,9330221.03,59933,80.93333333,33.43333333,71.01666667
0.2646,0,DA,190,186,59151243,565,59151243,5915,5915025,9330221.03,59933,84.05,35.25,74.96666667
