,GeoUID,Type,Region Name,Area (sq km),Population ,Dwellings ,Households ,"v_CA21_1: Population, 2021",X,Y,Transit Time,Car Time,Bike Time
143,59170212,DA,59170212,0.1568,511,340,302,511,-123.30349,48.422784,26.933333333333334,12.566666666666666,19.866666666666667
144,59170214,DA,59170214,1.0236,549,235,222,549,-123.297164,48.440782,40.8,15.016666666666667,25.566666666666666
145,59170215,DA,59170215,0.1709,436,184,180,436,-123.304838,48.438664,36.13333333333333,13.483333333333333,21.166666666666668
146,59170216,DA,59170216,0.1816,508,252,238,508,-123.305914,48.434921,40.15,13.616666666666667,19.883333333333333
147,59170217,DA,59170217,0.2037,540,206,200,540,-123.309403,48.440325,31.4,12.883333333333333,20.4
148,59170218,DA,59170218,0.2216,530,202,196,530,-123.317243,48.439765,30.183333333333334,11.966666666666667,18.733333333333334
149,59170219,DA,59170219,0.2269,525,194,190,525,-123.315205,48.443139,33.483333333333334,13.116666666666667,19.45
150,59170220,DA,59170220,0.2253,481,186,175,481,-123.319872,48.444791,27.45,12.0,18.883333333333333
151,59170221,DA,59170221,0.1725,574,234,226,574,-123.324445,48.443944,27.116666666666667,11.633333333333333,18.75
152,59170222,DA,59170222,0.2043,728,308,292,728,-123.325579,48.439735,28.666666666666668,10.7,17.75
153,59170223,DA,59170223,0.3143,944,379,364,944,-123.330015,48.44141,28.516666666666666,10.966666666666667,17.316666666666666
154,59170224,DA,59170224,0.0925,506,262,247,506,-123.330919,48.438046,22.983333333333334,10.433333333333334,16.316666666666666
155,59170225,DA,59170225,0.1329,488,189,179,488,-123.334186,48.442259,22.066666666666666,9.65,16.4
156,59170226,DA,59170226,0.1579,589,248,240,589,-123.335437,48.437391,23.433333333333334,8.916666666666666,14.666666666666666
157,59170227,DA,59170227,0.1632,778,436,415,778,-123.338744,48.443101,19.283333333333335,11.35,16.216666666666665
158,59170228,DA,59170228,0.0955,339,155,146,339,-123.34205,48.441322,19.3,9.433333333333334,15.316666666666666
159,59170229,DA,59170229,0.2325,445,218,215,445,-123.335467,48.446279,22.816666666666666,11.716666666666667,18.716666666666665
